iter	RMSE
0	7.128749566
1	6.803881948
2	6.510214885
3	6.235332193
4	5.957123762
5	5.689129583
6	5.442309018
7	5.222804937
8	4.989989069
9	4.794577613
10	4.575464649
11	4.389858397
12	4.198902152
13	4.015127525
14	3.844037996
15	3.680176711
16	3.51653915
17	3.3714004
18	3.247515831
19	3.112691049
20	2.986881942
21	2.86064049
22	2.740290405
23	2.631603938
24	2.527308977
25	2.429142644
26	2.34198883
27	2.246877151
28	2.191928727
29	2.108245573
30	2.03409485
31	1.964042831
32	1.888642549
33	1.820634129
34	1.754226707
35	1.689781712
36	1.630637608
37	1.574146586
38	1.513804927
39	1.460886345
40	1.41206808
41	1.361171943
42	1.320870442
43	1.27615746
44	1.230294306
45	1.188512765
46	1.148706236
47	1.112495014
48	1.077846516
49	1.043023738
50	1.016062891
51	0.9843773258
52	0.9553206276
53	0.9264348467
54	0.9013809427
55	0.8756310493
56	0.8540367468
57	0.8349348609
58	0.8130389069
59	0.7936021305
60	0.7746193613
61	0.7561014201
62	0.7368267281
63	0.7194966388
64	0.7041529933
65	0.6883486727
66	0.6738498401
67	0.6604704631
68	0.6466712044
69	0.6327686321
70	0.620532834
71	0.6088712894
72	0.5971411056
73	0.5849727997
74	0.5729878426
75	0.5626609932
76	0.5529528595
77	0.5430073168
78	0.5339917378
79	0.5252123406
80	0.5168980927
81	0.5088925866
82	0.5013476617
83	0.4935324507
84	0.4854000402
85	0.4792252104
86	0.472206785
87	0.4664722387
88	0.4599437695
89	0.4542890912
90	0.4478641851
91	0.4416124626
92	0.4355969886
93	0.430190396
94	0.4246258546
95	0.4190443131
96	0.4137043395
97	0.4078450909
98	0.4026501079
99	0.3981071043
100	0.394620548
101	0.3903551679
102	0.3854669514
103	0.3809473545
104	0.3770763673
105	0.3729512307
106	0.3685139898
107	0.3641499353
108	0.3603074263
109	0.3573516137
110	0.3538101482
111	0.3504738882
112	0.346865015
113	0.343455156
114	0.3398232222
115	0.3370524998
116	0.3336375775
117	0.3301189571
118	0.3273615691
119	0.3242221671
120	0.3212347235
121	0.3186971995
122	0.3159631009
123	0.3130362224
124	0.3107771464
125	0.3079924744
126	0.3055067818
127	0.303442531
128	0.3009495438
129	0.2983771603
130	0.2955968165
131	0.2936211163
132	0.2914911018
133	0.2891408646
134	0.2871410367
135	0.2849061101
136	0.2829069094
137	0.2815393822
138	0.279300337
139	0.2769558322
140	0.2752926116
141	0.2734346573
142	0.2716536737
143	0.2698432007
144	0.2682309642
145	0.2668961723
146	0.2649897461
147	0.2628656224
148	0.2617130298
149	0.2600583019
150	0.2585999657
151	0.2571192029
152	0.2554799088
153	0.2537013926
154	0.2521661945
155	0.2506966901
156	0.2493693392
157	0.2479587786
158	0.2466925725
159	0.2454026837
160	0.2441775576
161	0.2428316643
162	0.2414630437
163	0.2400045833
164	0.2390841994
165	0.23770014
166	0.2363814736
167	0.2350782498
168	0.2335490028
169	0.2321003035
170	0.230880204
171	0.2299834219
172	0.2287751276
173	0.2276840435
174	0.2267230193
175	0.2255482295
176	0.224480986
177	0.2233437611
178	0.2223690139
179	0.2211906889
180	0.2201227376
181	0.2192727532
182	0.218174722
183	0.2170989234
184	0.215834583
185	0.2149007046
186	0.2135571054
187	0.2123967213
188	0.2113593603
189	0.2102830659
190	0.2092455304
191	0.2083425094
192	0.2074842936
193	0.2066747949
194	0.2053926811
195	0.2043828222
196	0.2034582804
197	0.2022946851
198	0.2013563784
199	0.2005121225
200	0.1996456402
201	0.1986536228
202	0.1978820338
203	0.1968296665
204	0.1959454904
205	0.1950634233
206	0.194387573
207	0.1935270883
208	0.1928411282
209	0.1919323054
210	0.1911342324
211	0.1903913444
212	0.1895644348
213	0.1887093183
214	0.1879172249
215	0.1873096188
216	0.1866242546
217	0.1858910888
218	0.185343657
219	0.1844590383
220	0.1839083297
221	0.183226785
222	0.1824500686
223	0.1817480335
224	0.1811113448
225	0.1803026271
226	0.179678359
227	0.1791559289
228	0.1785447582
229	0.1780079958
230	0.1773235813
231	0.1767398702
232	0.1759845842
233	0.1753377307
234	0.1747571153
235	0.174130274
236	0.1736153204
237	0.1729465985
238	0.1723504537
239	0.1717313343
240	0.1711191264
241	0.1706542882
242	0.170150937
243	0.1695826863
244	0.169041215
245	0.1685552471
246	0.167988367
247	0.1674119856
248	0.1669025573
249	0.1662570601
250	0.1657669395
251	0.1652844804
252	0.1647561093
253	0.1643418529
254	0.1639574497
255	0.1634351142
256	0.1629109734
257	0.1623947112
258	0.1619989629
259	0.1614930347
260	0.1609523104
261	0.1604299267
262	0.1598867743
263	0.1593919426
264	0.1589508922
265	0.1583879982
266	0.1578840246
267	0.1573661456
268	0.1568797718
269	0.156434548
270	0.1560934935
271	0.1556652962
272	0.1551827414
273	0.154673008
274	0.1542831681
275	0.1538737507
276	0.153446623
277	0.1530759223
278	0.1526112258
279	0.1522150945
280	0.1517005701
281	0.1513142693
282	0.150761536
283	0.1504442466
284	0.14994791
285	0.1494493504
286	0.1490881525
287	0.1488325529
288	0.1483684057
289	0.147940803
290	0.1475348866
291	0.1471331051
292	0.1467513645
293	0.146231904
294	0.1459091798
295	0.1455288932
296	0.1452091788
297	0.144842341
298	0.144245203
299	0.1438954782
300	0.1436705035
301	0.143343265
302	0.1430502602
303	0.142650642
304	0.142339659
305	0.1420042012
306	0.1416936062
307	0.1413806218
308	0.1410068865
309	0.1406864916
310	0.1403440246
311	0.1398822708
312	0.139600496
313	0.1391628961
314	0.1387385076
315	0.1384269637
316	0.1381001188
317	0.1378470144
318	0.137359339
319	0.1370136262
320	0.1366875966
321	0.1364230358
322	0.1361216485
323	0.1358894012
324	0.1354103345
325	0.1349406869
326	0.1344678171
327	0.1342093465
328	0.1339593947
329	0.1336491371
330	0.1331940222
331	0.1328092859
332	0.1325221684
333	0.1321239179
334	0.1318593799
335	0.1315102908
336	0.1312646475
337	0.130892706
338	0.1305648708
339	0.1301014101
340	0.1298396591
341	0.1293784321
342	0.1290421739
343	0.1286777968
344	0.1283224136
345	0.1280681707
346	0.1277582778
347	0.1274477247
348	0.1271726952
349	0.1268255137
350	0.1266163036
351	0.1264039986
352	0.1261150914
353	0.1258473787
354	0.1254169216
355	0.1251353485
356	0.1249695071
357	0.124586601
358	0.1241957116
359	0.1239480322
360	0.1236640464
361	0.1233642097
362	0.1230647777
363	0.1227290605
364	0.1225133887
365	0.1222881958
366	0.1219852116
367	0.1216589824
368	0.1215222117
369	0.12126412
370	0.1209701252
371	0.1206548338
372	0.1204090796
373	0.1200649226
374	0.1198625375
375	0.1195857771
376	0.1192882408
377	0.1190087371
378	0.1188285728
379	0.1186362657
380	0.1183085573
381	0.1181357646
382	0.11788975
383	0.1177194677
384	0.1173996754
385	0.117099553
386	0.1169032799
387	0.1166668735
388	0.1163942815
389	0.1161668027
390	0.1158878537
391	0.1156504389
392	0.1154811462
393	0.1152631751
394	0.1149410495
395	0.1147026927
396	0.1144836691
397	0.1142418033
398	0.1140905609
399	0.1138194384
400	0.1136302853
401	0.1134079349
402	0.1130946679
403	0.1128975939
404	0.1128186492
405	0.1126510811
406	0.1124004939
407	0.1122307472
408	0.1119500547
409	0.1117124315
410	0.1114290231
411	0.1111675508
412	0.1108346318
413	0.1105711648
414	0.1103301221
415	0.110162578
416	0.1099137316
417	0.1096612093
418	0.1094460197
419	0.1092234792
420	0.1090270457
421	0.108850918
422	0.1085643868
423	0.1083545
424	0.1080406023
425	0.1078004065
426	0.1075618593
427	0.107372858
428	0.1071092285
429	0.106881722
430	0.1065805997
431	0.1062885647
432	0.1059892581
433	0.1057415115
434	0.1055256746
435	0.1053060188
436	0.1050973806
437	0.1048746452
438	0.1046735617
439	0.1044541632
440	0.1042321539
441	0.1040159069
442	0.1038401211
443	0.103620218
444	0.1033896031
445	0.1032390208
446	0.1030646792
447	0.1028389497
448	0.1025243043
449	0.1023421671
450	0.1021143891
451	0.1018908335
452	0.1016788127
453	0.101551183
454	0.1013331703
455	0.101095657
456	0.1009410476
457	0.100758946
458	0.1005459338
459	0.1003826159
460	0.1001855375
461	0.0999888401
462	0.09987478528
463	0.09970076699
464	0.09947437072
465	0.09928823755
466	0.09910623637
467	0.09890013176
468	0.09863692065
469	0.09848274472
470	0.09824227823
471	0.09800580396
472	0.09788672281
473	0.09774659857
474	0.097588574
475	0.09741955906
476	0.09727890363
477	0.09714071286
