iter	Passed	Remaining
0	10	19936
1	26	24304
2	35	21806
3	43	20038
4	53	19463
5	63	19372
6	72	18766
7	78	17853
8	84	17039
9	90	16407
10	98	16261
11	105	15921
12	113	15828
13	121	15796
14	127	15404
15	132	15031
16	139	14828
17	147	14845
18	155	14833
19	171	15504
20	178	15325
21	183	15081
22	190	14916
23	197	14871
24	205	14838
25	213	14800
26	221	14774
27	227	14649
28	233	14489
29	239	14374
30	248	14431
31	257	14435
32	263	14320
33	270	14292
34	277	14216
35	282	14079
36	290	14071
37	298	14064
38	305	14007
39	314	14076
40	321	14025
41	329	14010
42	334	13898
43	343	13940
44	351	13910
45	358	13906
46	368	13956
47	374	13880
48	379	13790
49	385	13718
50	393	13704
51	401	13724
52	417	13973
53	425	13969
54	434	14019
55	443	14032
56	457	14206
57	469	14327
58	479	14367
59	489	14417
60	496	14376
61	504	14367
62	512	14351
63	517	14265
64	523	14191
65	529	14137
66	537	14129
67	547	14161
68	557	14218
69	568	14279
70	578	14314
71	588	14347
72	599	14400
73	608	14430
74	619	14470
75	629	14507
76	638	14524
77	647	14532
78	667	14781
79	687	15015
80	708	15286
81	727	15480
82	743	15625
83	753	15651
84	763	15662
85	773	15674
86	784	15701
87	794	15714
88	805	15734
89	816	15766
90	827	15795
91	837	15801
92	889	16600
93	912	16833
94	927	16922
95	941	16986
96	954	17042
97	968	17102
98	981	17140
99	992	17147
100	1013	17325
101	1034	17510
102	1054	17655
103	1070	17740
104	1083	17787
105	1099	17860
106	1117	17974
107	1132	18035
108	1166	18398
109	1182	18462
110	1195	18487
111	1208	18512
112	1222	18555
113	1232	18533
114	1250	18620
115	1268	18715
116	1277	18688
117	1293	18747
118	1309	18802
119	1319	18777
120	1327	18724
121	1333	18646
122	1339	18561
123	1347	18517
124	1355	18467
125	1363	18419
126	1369	18339
127	1374	18253
128	1379	18168
129	1385	18100
130	1390	18018
131	1404	18046
132	1410	17981
133	1418	17937
134	1426	17889
135	1434	17842
136	1440	17784
137	1446	17713
138	1452	17647
139	1458	17585
140	1464	17524
141	1470	17461
142	1476	17403
143	1485	17374
144	1496	17371
145	1507	17368
146	1517	17352
147	1530	17373
148	1539	17348
149	1546	17304
150	1553	17254
151	1559	17197
152	1565	17140
153	1571	17079
154	1575	17010
155	1580	16944
156	1586	16883
157	1591	16823
158	1596	16760
159	1601	16700
160	1607	16647
161	1616	16626
162	1624	16593
163	1634	16579
164	1659	16722
165	1666	16688
166	1674	16654
167	1681	16617
168	1688	16575
169	1694	16530
170	1700	16482
171	1706	16433
172	1713	16393
173	1719	16340
174	1724	16292
175	1729	16236
176	1735	16186
177	1745	16183
178	1754	16161
179	1763	16147
180	1772	16127
181	1782	16124
182	1791	16104
