iter	RMSE
0	3.710120079
1	3.656276562
2	3.606025512
3	3.558899559
4	3.51273981
5	3.464365942
6	3.421163604
7	3.380749153
8	3.338887619
9	3.301503453
10	3.264491705
11	3.228796094
12	3.19372895
13	3.15984765
14	3.126294877
15	3.095649585
16	3.065949141
17	3.034581132
18	3.006960574
19	2.983758993
20	2.95726351
21	2.928831308
22	2.905295837
23	2.881977778
24	2.860313215
25	2.836964353
26	2.816438671
27	2.796040736
28	2.7762031
29	2.755918455
30	2.737188066
31	2.719917561
32	2.703639571
33	2.689035849
34	2.67140126
35	2.657035214
36	2.64128616
37	2.626630609
38	2.613368442
39	2.600024703
40	2.587735552
41	2.573499026
42	2.560307131
43	2.545627366
44	2.532354359
45	2.520355016
46	2.510688624
47	2.498735998
48	2.489191805
49	2.478434227
50	2.468276872
51	2.459525036
52	2.451215822
53	2.440220994
54	2.432333136
55	2.423907139
56	2.415932946
57	2.408658833
58	2.39920874
59	2.38958493
60	2.381511254
61	2.373335037
62	2.366896365
63	2.360423778
64	2.353767041
65	2.347477059
66	2.339519267
67	2.333777243
68	2.327814745
69	2.322335813
70	2.317609745
71	2.311623287
72	2.305762122
73	2.299452702
74	2.294640175
75	2.28941487
76	2.2852529
77	2.281520483
78	2.275933725
79	2.271031885
80	2.267161471
81	2.263451843
82	2.259240952
83	2.253565215
84	2.248588735
85	2.244663969
86	2.240235827
87	2.23666865
88	2.23290753
89	2.228201489
90	2.225051279
91	2.220711684
92	2.217590346
93	2.214341346
94	2.210884425
95	2.207394781
96	2.204841162
97	2.201795564
98	2.198456506
99	2.194628447
100	2.191818657
101	2.18904665
102	2.185637679
103	2.182465755
104	2.180323189
105	2.178051444
106	2.174430972
107	2.171458158
108	2.168981067
109	2.16632316
110	2.163681469
111	2.161564678
112	2.158255592
113	2.155585071
114	2.15180903
115	2.14947741
116	2.148120501
117	2.145652501
118	2.142964046
119	2.140220727
120	2.137814589
121	2.13578383
122	2.134291801
123	2.131689378
124	2.129407251
125	2.126829269
126	2.125632321
127	2.124528232
128	2.122071272
129	2.120521624
130	2.118517894
131	2.116896395
132	2.114809205
133	2.112436578
134	2.110011973
135	2.107619406
136	2.105538691
137	2.104466179
138	2.102316175
139	2.100645232
140	2.099131563
141	2.09753736
142	2.096450951
143	2.095544603
144	2.094404757
145	2.093100313
146	2.091814189
147	2.089931973
148	2.087784844
149	2.086898749
150	2.085228774
151	2.083428028
152	2.081806554
153	2.080322778
154	2.079097267
155	2.078351424
156	2.076456779
157	2.074234391
158	2.072997408
159	2.071333389
160	2.070046019
161	2.068630194
162	2.067435055
163	2.066565824
164	2.064817509
165	2.064210321
166	2.062199764
167	2.060455009
168	2.058136886
169	2.057319027
170	2.055339503
171	2.054964111
172	2.053831072
173	2.052207314
174	2.05101148
175	2.050234951
176	2.049574465
177	2.048466243
178	2.046400931
179	2.045017174
180	2.043378582
181	2.042086567
182	2.041136066
183	2.040225906
184	2.039469765
185	2.038298643
186	2.037002629
187	2.036128238
188	2.03524212
189	2.034485282
190	2.033345098
191	2.033037304
192	2.032051909
193	2.031621604
194	2.029830329
195	2.029408021
196	2.02878597
197	2.027868165
198	2.026601355
199	2.025091525
200	2.024413112
201	2.023641659
202	2.022637075
203	2.021639956
204	2.021270445
205	2.020140014
206	2.018614391
207	2.016527773
208	2.015745057
209	2.014883551
210	2.013890933
211	2.012644199
212	2.011633387
213	2.010716768
214	2.010108987
215	2.008458302
216	2.007833016
217	2.00633355
218	2.004885997
219	2.004291688
220	2.003773587
221	2.003622217
222	2.002270455
223	2.001507587
224	2.000482229
225	1.999082387
226	1.998861598
227	1.998305536
228	1.997690347
229	1.996930655
230	1.995868803
231	1.995333962
232	1.994625616
233	1.993840848
234	1.993175296
235	1.991907058
236	1.99096783
237	1.990386717
238	1.989559145
