iter	Passed	Remaining
0	44	67010
1	87	66436
2	158	79623
3	211	79966
4	265	79997
5	319	80402
6	374	80670
7	428	80757
8	484	80970
9	536	80643
10	592	80986
11	646	80862
12	702	81073
13	755	80917
14	805	80474
15	855	80126
16	910	80197
17	963	80103
18	1015	79917
19	1072	80152
20	1143	81312
21	1239	84055
22	1296	84051
23	1350	83871
24	1405	83726
25	1463	83743
26	1520	83729
27	1574	83577
28	1629	83465
29	1683	83265
30	1736	83080
31	1791	82964
32	1853	83162
33	1909	83122
34	1965	83073
35	2022	83052
36	2075	82868
37	2155	83741
38	2211	83655
39	2264	83436
40	2321	83389
41	2377	83341
42	2440	83490
43	2504	83670
44	2562	83659
45	2620	83612
46	2678	83588
47	2734	83509
48	2792	83477
49	2846	83339
50	2902	83270
51	2959	83199
52	3016	83160
53	3071	83049
54	3171	84119
55	3227	84034
56	3293	84194
57	3360	84355
58	3446	84987
59	3510	85074
60	3567	84983
61	3625	84914
62	3683	84826
63	3745	84857
64	3799	84707
65	3852	84529
66	3908	84406
67	3962	84263
68	4019	84171
69	4072	84006
70	4154	84430
71	4214	84397
72	4277	84438
73	4334	84341
74	4391	84260
75	4448	84178
76	4506	84101
77	4561	83971
78	4617	83878
79	4670	83724
80	4723	83570
81	4788	83621
82	4852	83654
83	4913	83639
84	4973	83620
85	5030	83530
86	5087	83450
87	5187	84061
88	5258	84194
89	5312	84056
90	5371	83990
91	5427	83886
92	5482	83765
93	5537	83648
94	5594	83569
95	5668	83732
96	5729	83703
97	5785	83590
98	5837	83432
99	5890	83296
100	5943	83150
101	6009	83196
102	6061	83038
103	6143	83296
104	6188	83047
105	6245	82957
106	6302	82873
107	6355	82745
108	6413	82671
109	6468	82564
110	6523	82458
111	6575	82314
112	6635	82270
113	6690	82166
114	6746	82076
115	6803	81998
116	6858	81889
117	6916	81826
118	6972	81737
119	7036	81745
120	7092	81646
121	7164	81743
122	7218	81637
123	7272	81526
124	7331	81464
125	7386	81369
126	7441	81268
127	7496	81176
128	7553	81098
129	7613	81053
130	7666	80940
131	7726	80890
132	7792	80910
133	7866	81016
134	7932	81028
135	7988	80940
136	8041	80823
137	8116	80930
138	8170	80822
139	8226	80733
140	8279	80624
141	8344	80621
142	8398	80518
143	8460	80487
144	8512	80372
145	8568	80289
146	8625	80209
147	8681	80132
148	8738	80053
149	8794	79969
150	8848	79869
151	8904	79793
152	8958	79692
153	9011	79580
154	9062	79455
155	9141	79580
156	9204	79554
157	9259	79470
158	9315	79386
159	9367	79271
160	9416	79137
161	9471	79047
162	9530	78992
163	9583	78892
164	9645	78859
165	9708	78836
166	9762	78742
167	9814	78635
168	9869	78546
169	9925	78469
170	9982	78398
171	10036	78311
172	10129	78520
173	10182	78418
174	10236	78326
175	10289	78225
176	10340	78112
177	10394	78016
178	10447	77915
179	10500	77820
180	10554	77729
181	10609	77647
182	10662	77552
183	10716	77459
184	10769	77363
185	10821	77266
186	10878	77198
187	10932	77106
188	10988	77037
189	11043	76957
190	11112	76971
191	11172	76929
192	11222	76814
193	11275	76722
194	11327	76621
195	11381	76537
196	11435	76451
197	11490	76373
198	11548	76313
199	11602	76229
200	11659	76163
201	11715	76090
202	11769	76007
203	11823	75925
204	11878	75847
205	11932	75768
206	11989	75704
207	12054	75688
208	12130	75745
209	12187	75676
210	12242	75600
211	12331	75734
212	12383	75640
213	12439	75568
214	12493	75481
215	12550	75421
216	12603	75329
217	12656	75243
218	12712	75172
219	12768	75099
220	12820	75007
221	12854	74809
222	12907	74724
223	12963	74654
224	13026	74626
225	13076	74526
226	13154	74583
227	13209	74506
228	13265	74435
229	13318	74350
230	13373	74276
231	13428	74205
232	13481	74116
233	13535	74040
234	13591	73970
235	13645	73894
236	13700	73820
237	13753	73734
238	13806	73654
239	13859	73569
240	13913	73494
241	13968	73420
242	14022	73344
243	14072	73245
244	14151	73301
245	14207	73230
246	14260	73148
247	14316	73085
248	14372	73014
249	14423	72924
250	14473	72830
251	14562	72926
252	14613	72834
253	14673	72790
254	14732	72738
255	14799	72727
256	14853	72647
257	14911	72593
258	14965	72518
259	15022	72453
260	15074	72369
261	15153	72411
262	15210	72348
263	15265	72278
264	15320	72207
265	15373	72129
266	15438	72102
267	15493	72035
268	15549	71965
269	15600	71879
270	15656	71811
271	15710	71735
272	15765	71664
273	15818	71589
274	15874	71523
275	15929	71452
276	15983	71377
277	16037	71303
278	16082	71189
279	16126	71071
280	16176	70982
281	16208	70811
282	16241	70647
283	16269	70464
284	16299	70288
285	16329	70115
286	16359	69939
287	16383	69745
288	16413	69571
289	16442	69399
290	16469	69218
291	16498	69045
292	16527	68875
293	16554	68695
294	16582	68522
295	16614	68366
296	16643	68200
297	16672	68031
298	16717	67930
299	16750	67785
300	16784	67640
301	16818	67497
302	16851	67349
303	16884	67202
304	16920	67071
305	16953	66928
306	16991	66802
307	17023	66657
308	17055	66510
309	17102	66423
310	17136	66287
311	17168	66142
312	17200	66001
313	17247	65915
314	17291	65816
315	17322	65672
316	17353	65526
317	17384	65381
318	17417	65247
319	17450	65112
320	17483	64976
321	17514	64835
322	17545	64694
323	17572	64539
324	17598	64384
325	17623	64223
326	17649	64066
327	17673	63904
328	17695	63734
329	17716	63564
330	17738	63397
331	17759	63227
332	17782	63066
333	17807	62911
334	17832	62760
335	17857	62606
336	17880	62448
337	17904	62293
338	17928	62142
339	17954	61994
340	17978	61842
341	18005	61702
342	18034	61568
343	18059	61424
344	18105	61347
345	18129	61201
346	18157	61064
347	18183	60925
348	18210	60788
349	18236	60648
350	18262	60512
351	18289	60375
352	18315	60237
353	18336	60087
354	18359	59941
355	18380	59787
356	18403	59645
357	18428	59506
358	18453	59370
359	18478	59234
360	18503	59097
361	18528	58964
362	18559	58847
363	18594	58746
364	18623	58624
365	18653	58508
366	18682	58387
367	18708	58261
368	18733	58129
369	18758	57999
370	18780	57861
371	18803	57723
372	18831	57604
373	18868	57514
374	18905	57421
375	18935	57309
376	18966	57199
377	19002	57107
378	19033	56998
379	19063	56890
380	19103	56809
381	19133	56700
382	19157	56572
383	19182	56448
384	19211	56337
385	19240	56226
386	19273	56127
387	19301	56013
388	19329	55902
389	19362	55804
390	19391	55694
391	19420	55585
392	19448	55475
393	19472	55352
394	19498	55238
395	19538	55162
396	19560	55034
397	19583	54912
398	19606	54789
399	19627	54662
400	19649	54538
401	19671	54414
402	19692	54287
403	19712	54159
404	19737	54046
405	19762	53931
406	19783	53810
407	19805	53688
408	19826	53566
409	19847	53443
410	19869	53323
411	19891	53205
412	19913	53085
413	19935	52968
414	19963	52867
415	19991	52766
416	20018	52661
417	20046	52560
418	20080	52477
419	20108	52378
420	20133	52270
421	20158	52164
422	20183	52058
423	20208	51952
424	20235	51849
425	20262	51749
426	20286	51643
427	20312	51539
428	20337	51436
429	20362	51332
430	20387	51230
431	20412	51125
432	20439	51028
433	20460	50915
434	20481	50803
435	20506	50702
436	20534	50606
437	20558	50504
438	20584	50405
439	20609	50306
440	20635	50207
441	20659	50107
442	20687	50015
443	20713	49917
444	20751	49849
445	20789	49783
446	20818	49694
447	20845	49601
448	20872	49507
449	20897	49410
450	20922	49313
451	20947	49217
452	20972	49122
453	20998	49027
454	21047	48987
455	21074	48896
456	21114	48835
457	21140	48742
458	21166	48650
459	21192	48559
460	21219	48468
461	21243	48373
462	21266	48274
463	21292	48183
464	21315	48086
465	21339	47991
466	21362	47894
467	21385	47796
468	21408	47700
469	21431	47605
470	21457	47515
471	21480	47420
472	21504	47327
473	21531	47241
474	21558	47156
475	21586	47073
476	21612	46985
477	21635	46892
478	21658	46798
479	21681	46704
480	21705	46613
481	21728	46521
482	21751	46431
483	21774	46337
484	21800	46252
485	21828	46172
486	21856	46091
487	21881	46004
488	21906	45918
489	21934	45837
490	21961	45756
491	21991	45682
492	22019	45601
493	22042	45513
494	22075	45444
495	22111	45381
496	22138	45302
497	22162	45214
498	22184	45124
499	22207	45037
500	22232	44953
501	22255	44866
502	22286	44793
503	22311	44712
504	22340	44636
505	22363	44549
506	22388	44466
507	22418	44396
508	22449	44325
509	22477	44248
510	22504	44171
511	22526	44084
512	22550	44001
513	22574	43918
514	22600	43841
515	22629	43767
516	22653	43685
517	22677	43604
518	22703	43526
519	22727	43444
520	22752	43365
521	22779	43290
522	22810	43221
523	22840	43151
524	22871	43084
525	22900	43014
526	22928	42942
527	22957	42872
528	22988	42803
529	23018	42736
530	23051	42673
531	23094	42628
532	23122	42557
533	23150	42485
534	23196	42447
535	23225	42377
536	23255	42310
537	23282	42237
538	23310	42166
539	23342	42103
540	23370	42032
541	23397	41960
542	23425	41889
543	23449	41812
544	23472	41734
545	23497	41659
546	23527	41591
547	23556	41524
548	23585	41457
549	23613	41387
550	23641	41318
551	23679	41267
552	23706	41197
553	23733	41127
554	23760	41055
555	23787	40985
556	23814	40916
557	23840	40845
558	23867	40775
559	23894	40706
560	23922	40638
561	23949	40568
562	23975	40498
563	24003	40430
564	24030	40363
565	24063	40304
566	24097	40247
567	24125	40180
568	24152	40112
569	24178	40043
570	24206	39976
571	24233	39909
572	24260	39841
573	24287	39773
574	24313	39705
575	24348	39650
576	24385	39600
577	24414	39536
578	24440	39467
579	24464	39396
580	24488	39324
581	24512	39253
582	24539	39187
583	24568	39123
584	24594	39057
585	24621	38991
586	24648	38926
587	24675	38859
588	24698	38787
589	24721	38715
590	24744	38644
591	24766	38572
592	24789	38501
593	24811	38429
594	24834	38357
595	24856	38285
596	24879	38215
597	24902	38144
598	24925	38074
599	24948	38004
600	24971	37935
601	24994	37865
602	25021	37802
603	25049	37740
604	25080	37682
605	25109	37622
606	25132	37554
607	25156	37486
608	25180	37418
609	25203	37350
610	25227	37284
611	25255	37222
612	25281	37160
613	25307	37095
614	25352	37059
615	25380	36999
616	25403	36931
617	25428	36867
618	25451	36799
619	25495	36762
620	25519	36697
621	25547	36636
622	25571	36571
623	25593	36503
624	25617	36438
625	25641	36372
626	25664	36306
627	25686	36239
628	25709	36172
629	25731	36106
630	25753	36038
631	25777	35973
632	25801	35910
633	25826	35848
634	25850	35783
635	25873	35717
636	25896	35653
637	25920	35589
638	25946	35529
639	25969	35464
640	25992	35399
641	26015	35335
642	26044	35279
643	26080	35233
644	26107	35173
645	26131	35111
646	26154	35048
647	26177	34983
648	26200	34920
649	26226	34860
650	26250	34798
651	26272	34733
652	26296	34672
653	26323	34615
654	26350	34556
655	26378	34501
656	26405	34444
657	26432	34386
658	26457	34326
659	26481	34265
660	26504	34203
661	26529	34143
662	26556	34086
663	26579	34025
664	26607	33969
665	26636	33915
666	26665	33861
667	26689	33801
668	26712	33740
669	26735	33678
670	26758	33618
671	26782	33557
672	26819	33514
673	26846	33458
674	26872	33401
675	26895	33341
676	26918	33280
677	26940	33218
678	26964	33159
679	26987	33099
680	27010	33038
681	27043	32991
682	27073	32940
683	27100	32885
684	27133	32837
685	27160	32782
686	27187	32728
687	27215	32674
688	27241	32618
689	27269	32565
690	27296	32510
691	27323	32456
692	27350	32402
693	27379	32350
694	27408	32298
695	27435	32245
696	27463	32192
697	27519	32171
698	27549	32121
699	27578	32069
700	27609	32020
701	27639	31970
702	27672	31923
703	27699	31870
704	27728	31818
705	27754	31764
706	27779	31708
707	27805	31654
708	27832	31601
709	27859	31547
710	27885	31494
711	27913	31441
712	27939	31388
713	27966	31334
714	27993	31282
715	28019	31228
716	28050	31180
717	28082	31133
718	28108	31079
719	28131	31023
720	28158	30970
721	28186	30918
722	28220	30874
723	28248	30823
724	28277	30773
725	28306	30723
726	28331	30670
727	28356	30616
728	28381	30561
729	28403	30505
730	28430	30453
731	28455	30398
732	28478	30343
733	28502	30288
734	28527	30235
735	28556	30185
736	28580	30131
737	28603	30076
738	28626	30020
739	28648	29964
740	28671	29909
741	28694	29854
742	28719	29801
743	28745	29749
744	28773	29700
745	28798	29648
746	28821	29592
747	28852	29546
748	28888	29505
749	28916	29455
750	28938	29401
751	28960	29345
752	28983	29291
753	29006	29237
754	29050	29204
755	29083	29159
756	29106	29106
757	29128	29051
758	29153	28999
759	29178	28948
760	29201	28895
761	29225	28841
762	29247	28787
763	29272	28736
764	29297	28685
765	29323	28634
766	29365	28599
767	29387	28546
768	29416	28498
769	29443	28449
770	29466	28396
771	29488	28342
772	29510	28289
773	29533	28236
774	29557	28184
775	29583	28134
776	29606	28082
777	29635	28035
778	29681	28004
779	29707	27955
780	29730	27903
781	29753	27850
782	29775	27797
783	29798	27746
784	29821	27694
785	29850	27647
786	29879	27601
787	29911	27557
788	29943	27514
789	29973	27469
790	30003	27424
791	30034	27380
792	30070	27340
793	30098	27293
794	30128	27247
795	30156	27201
796	30184	27154
797	30213	27108
798	30243	27063
799	30273	27019
800	30304	26975
801	30334	26930
802	30364	26885
803	30391	26838
804	30421	26793
805	30449	26747
806	30476	26699
807	30503	26652
808	30530	26606
809	30558	26559
810	30585	26512
811	30615	26467
812	30643	26422
813	30670	26375
814	30699	26330
815	30731	26287
816	30760	26242
817	30793	26200
818	30821	26154
819	30851	26110
820	30881	26066
821	30952	26057
822	31060	26078
823	31127	26065
824	31183	26043
825	31237	26018
826	31291	25994
827	31351	25974
828	31402	25947
829	31459	25926
830	31518	25905
831	31573	25880
832	31624	25854
833	31677	25828
834	31730	25802
835	31783	25776
836	31881	25786
837	31933	25759
838	31994	25740
839	32056	25721
840	32105	25692
841	32157	25664
842	32210	25638
843	32263	25611
844	32317	25586
845	32390	25575
846	32457	25559
847	32515	25536
848	32568	25510
849	32623	25484
850	32673	25455
851	32728	25429
852	32782	25403
853	32832	25373
854	32882	25344
855	32937	25318
856	32988	25289
857	33062	25278
858	33114	25250
859	33167	25222
860	33228	25201
861	33283	25174
862	33343	25152
863	33395	25123
864	33444	25093
865	33495	25063
866	33553	25039
867	33604	25009
868	33656	24981
869	33708	24952
870	33762	24924
871	33813	24894
872	33866	24866
873	33920	24838
874	33971	24809
875	34061	24807
876	34122	24784
877	34175	24755
878	34231	24729
879	34295	24708
880	34350	24681
881	34407	24655
882	34471	24633
883	34526	24605
884	34581	24578
885	34636	24550
886	34691	24522
887	34746	24495
888	34800	24466
889	34867	24446
890	34925	24420
891	34983	24394
892	35061	24381
893	35118	24354
894	35176	24328
895	35232	24300
896	35284	24270
897	35339	24241
898	35396	24214
899	35451	24185
900	35508	24158
901	35572	24135
902	35635	24112
903	35702	24091
904	35760	24064
905	35813	24034
906	35868	24004
907	35922	23974
908	35978	23945
909	36062	23936
910	36123	23910
911	36184	23884
912	36264	23871
913	36330	23849
914	36402	23830
915	36452	23797
916	36507	23767
917	36563	23738
918	36622	23710
919	36676	23680
920	36732	23651
921	36787	23620
922	36841	23589
923	36894	23558
924	36947	23526
925	37025	23510
926	37078	23478
927	37134	23449
928	37190	23419
929	37245	23388
930	37304	23360
931	37358	23328
932	37412	23297
933	37467	23266
934	37524	23237
935	37581	23207
936	37637	23177
937	37692	23145
938	37744	23112
939	37798	23081
940	37863	23056
941	37920	23026
942	37979	22996
943	38041	22970
944	38098	22939
945	38155	22909
946	38208	22876
947	38259	22842
948	38312	22809
949	38365	22776
950	38418	22744
951	38483	22718
952	38546	22690
953	38597	22656
954	38650	22623
955	38704	22590
956	38757	22557
957	38809	22524
958	38867	22493
959	38924	22462
960	38980	22430
961	39044	22403
962	39096	22369
963	39150	22336
964	39203	22303
965	39256	22269
966	39312	22237
967	39368	22205
968	39423	22173
969	39479	22140
970	39534	22108
971	39592	22077
972	39648	22045
973	39704	22012
974	39760	21980
975	39814	21946
976	39869	21914
977	39925	21881
978	39982	21849
979	40070	21834
980	40129	21803
981	40188	21772
982	40249	21742
983	40308	21710
984	40355	21673
985	40402	21635
986	40446	21595
987	40492	21557
988	40546	21523
989	40599	21488
990	40648	21452
991	40715	21425
992	40761	21386
993	40811	21349
994	40860	21313
995	40907	21275
996	40960	21240
997	41020	21209
998	41065	21169
999	41108	21129
1000	41153	21090
1001	41206	21055
1002	41253	21017
1003	41307	20982
1004	41359	20947
1005	41421	20916
1006	41482	20885
1007	41540	20852
1008	41598	20819
1009	41653	20785
1010	41710	20752
1011	41764	20717
1012	41817	20681
1013	41871	20646
1014	41927	20612
1015	42011	20592
1016	42061	20555
1017	42135	20529
1018	42190	20494
1019	42245	20460
1020	42302	20426
1021	42358	20391
1022	42413	20357
1023	42468	20321
1024	42523	20286
1025	42579	20252
1026	42633	20216
1027	42686	20180
1028	42738	20144
1029	42791	20108
1030	42845	20072
1031	42924	20048
1032	42975	20011
1033	43042	19981
1034	43095	19944
1035	43150	19909
1036	43202	19872
1037	43256	19836
1038	43311	19800
1039	43366	19765
1040	43421	19729
1041	43476	19693
1042	43530	19657
1043	43582	19620
1044	43635	19583
1045	43687	19546
1046	43739	19509
1047	43790	19471
1048	43840	19433
1049	43891	19395
1050	43942	19358
1051	44027	19335
1052	44086	19300
1053	44142	19265
1054	44198	19229
1055	44254	19193
1056	44308	19157
1057	44365	19121
1058	44423	19086
1059	44478	19050
1060	44532	19013
1061	44583	18975
1062	44644	18941
1063	44695	18902
1064	44746	18864
1065	44806	18830
1066	44861	18793
1067	44915	18756
1068	44969	18719
1069	45044	18691
1070	45117	18662
1071	45191	18633
1072	45245	18595
1073	45302	18559
1074	45357	18522
1075	45413	18486
1076	45468	18449
1077	45524	18412
1078	45580	18375
1079	45636	18339
1080	45699	18305
1081	45754	18267
1082	45812	18232
1083	45875	18197
1084	45930	18160
1085	46007	18131
1086	46061	18094
1087	46116	18056
1088	46170	18018
1089	46224	17980
1090	46279	17943
1091	46336	17906
1092	46397	17871
1093	46450	17833
1094	46503	17794
1095	46554	17755
1096	46601	17714
1097	46656	17676
1098	46712	17639
1099	46775	17604
1100	46829	17566
1101	46885	17529
1102	46939	17490
1103	47017	17461
1104	47071	17422
1105	47129	17385
1106	47185	17348
1107	47240	17310
1108	47294	17271
1109	47381	17245
1110	47438	17207
1111	47491	17168
1112	47548	17131
1113	47609	17095
1114	47661	17055
1115	47714	17016
1116	47765	16976
1117	47818	16937
1118	47870	16897
1119	47922	16858
1120	47978	16820
1121	48032	16781
1122	48084	16741
1123	48139	16703
1124	48192	16664
1125	48247	16625
1126	48302	16586
1127	48357	16547
1128	48408	16507
1129	48461	16468
1130	48516	16429
1131	48573	16391
1132	48631	16353
1133	48686	16314
1134	48741	16275
1135	48792	16235
1136	48844	16195
1137	48917	16162
1138	48969	16122
1139	49056	16093
1140	49108	16053
1141	49169	16016
1142	49242	15983
1143	49309	15948
1144	49368	15909
1145	49425	15871
1146	49476	15830
1147	49557	15799
1148	49626	15764
1149	49684	15726
1150	49734	15685
1151	49786	15644
1152	49837	15603
1153	49889	15563
1154	49937	15521
1155	49987	15480
1156	50038	15439
1157	50089	15398
1158	50133	15355
1159	50188	15316
1160	50243	15276
1161	50298	15236
1162	50337	15192
1163	50371	15146
1164	50403	15099
1165	50435	15052
1166	50467	15006
1167	50496	14958
1168	50526	14911
1169	50571	14868
1170	50607	14823
1171	50635	14775
1172	50661	14727
1173	50690	14680
1174	50717	14632
1175	50763	14590
1176	50793	14543
1177	50821	14495
1178	50852	14449
1179	50882	14402
1180	50912	14355
1181	50942	14308
1182	50977	14263
1183	51017	14219
1184	51047	14172
1185	51077	14126
1186	51107	14079
1187	51147	14035
1188	51189	13992
1189	51226	13947
1190	51257	13901
1191	51286	13854
1192	51315	13807
1193	51344	13760
1194	51374	13714
1195	51403	13667
1196	51430	13620
1197	51458	13573
1198	51488	13527
1199	51517	13480
1200	51544	13433
1201	51572	13386
1202	51603	13340
1203	51646	13297
1204	51675	13251
1205	51705	13205
1206	51733	13158
1207	51780	13116
1208	51809	13070
1209	51838	13023
1210	51868	12977
1211	51898	12931
1212	51927	12885
1213	51955	12839
1214	52007	12798
1215	52037	12752
1216	52063	12705
1217	52089	12658
1218	52115	12612
1219	52141	12565
1220	52167	12518
1221	52192	12471
1222	52217	12424
1223	52241	12377
1224	52266	12330
1225	52291	12283
1226	52314	12236
1227	52339	12189
1228	52363	12142
1229	52391	12096
1230	52419	12050
1231	52444	12004
1232	52472	11958
1233	52502	11913
1234	52531	11867
1235	52559	11821
1236	52582	11774
1237	52607	11728
1238	52631	11681
1239	52655	11635
1240	52683	11589
1241	52710	11543
1242	52734	11497
1243	52758	11450
1244	52783	11404
1245	52812	11359
1246	52838	11313
1247	52862	11267
1248	52890	11221
1249	52913	11175
1250	52937	11129
1251	52961	11082
1252	52994	11038
1253	53020	10993
1254	53042	10946
1255	53067	10900
1256	53093	10855
1257	53117	10809
1258	53141	10763
1259	53166	10717
1260	53193	10672
1261	53224	10628
1262	53260	10584
1263	53292	10540
1264	53321	10495
