Giá (tỷ VNĐ),Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Hướng_sin,Hướng_cos,Tình trạng nội thất_encoded
7.0,82.5,3.5,23.5,3.0,3.0,1.4732142857142856,7.688481542509216,6.832775557727817,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.95,64.0,4.0,16.0,3.0,2.0,1.0,7.688481542509216,5.648745837406321,0,0,1,0,4,0.0,1.0,1.5
0.65,90.0,5.0,18.0,2.0,1.0,2.4107142857142856,7.688481542509216,4.640852385607225,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.0
4.95,33.0,3.198437118343896,10.31753909143192,4.0,4.0,4.0,7.688481542509216,7.973949383922861,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
2.08,45.0,4.0,11.0,2.0,1.0,1.2053571428571428,4.942532781780636,5.999660006516781,0,0,1,0,4,0.7071067811865476,0.7071067811865476,1.1
5.5,27.0,3.0,9.0,2.0,2.0,1.0,7.688481542509216,8.294128236444138,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
4.8,35.0,3.4,10.7,2.0,2.0,2.0,7.688481542509216,6.9676539831659445,0,0,1,0,4,-0.7071067811865477,0.7071067811865474,1.1
8.0,45.0,4.0,11.0,3.0,3.0,2.0,7.688481542509216,7.792148751221896,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.3,64.0,4.454211490264018,14.368424162141991,3.0,3.0,1.1428571428571428,7.688481542509216,6.91796666962884,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.9,76.0,4.0,19.0,3.0,2.0,1.357142857142857,4.942532781780636,7.116900003153281,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
