Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_Không có sổ,Giấy tờ pháp lý_Sổ chung / công chứng vi bằng,Giấy tờ pháp lý_Đang chờ sổ,Giấy tờ pháp lý_Đã có sổ,Hướng_Không xác định,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Tình trạng nội thất_Hoàn thiện cơ bản,Tình trạng nội thất_Không xác định,Tình trạng nội thất_Nội thất cao cấp,Tình trạng nội thất_Nội thất đầy đủ,Phường/Xã_encoded,Thành phố_encoded,Giá bán_numeric_log,Diện tích (m2)_log,Giá_per_m2_log
45.0,4.5,10.0,2.0,2.0,3.0,24444444.444444444,4.0,0.45,11.25,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,4585843565.256935,2787853645.596483,20.818576017659826,3.828641396489095,17.011913567889508
67.7,5.0,13.5,5.0,5.0,2.0,97488921.71344166,10.0,0.37037037037037035,6.7700000000000005,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5884120408.266383,6444340613.27308,22.610335486130307,4.229749199228304,18.395249316318136
64.9,4.79,12.0,2.0,1.0,2.0,55161787.36517719,3.0,0.39916666666666667,21.633333333333336,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,5665140688.949522,7160177606.439785,21.99862863763835,4.188138441508461,17.825781031777467
150.0,5.0,30.0,1.0,1.0,2.0,12000000.0,2.0,0.16666666666666666,75.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,6395370395.634379,3783366855.06399,21.311052502404085,5.017279836814924,16.300417291085605
43.0,4.5,9.0,4.0,4.0,2.0,162790697.6744186,8.0,0.5,5.375,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6270408448.190128,6471881569.217854,22.66917598614458,3.784189633918261,18.90797587645102
56.0,4.0,14.0,4.0,6.0,2.0,114107142.85714285,10.0,0.2857142857142857,5.6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,4834749060.333548,6471881569.217854,22.57800010549235,4.04305126783455,18.5526484233644
116.0,4.8,24.0,2.0,1.0,1.0,87931034.48275863,3.0,0.19999999999999998,38.666666666666664,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,7145197300.425813,6473607613.312442,23.045653557334674,4.762173934797756,18.29206337750282
56.0,4.0,14.0,2.0,2.0,2.0,87500000.0,4.0,0.2857142857142857,14.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,7475579538.318284,6473607613.312442,22.312501042267073,4.04305126783455,18.287149362756413
32.0,4.0,8.0,2.0,3.0,2.0,131250000.0,5.0,0.5,6.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5883761711.321548,6478016096.952897,22.15835036247383,3.4965075614664802,18.692614467055055
56.0,4.0,14.0,2.0,3.0,2.0,71250000.0,5.0,0.2857142857142857,11.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5511785499.090496,6471881569.217854,22.10705706809881,4.04305126783455,18.081705391148123
34.0,3.0,12.0,5.0,3.0,5.0,232058823.52941176,8.0,0.25,4.25,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,6106843467.506471,6444340613.27308,22.788861971930938,3.5553480614894135,19.262501451497286
52.0,4.0,13.0,4.0,4.0,2.0,109615384.61538461,8.0,0.3076923076923077,6.5,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,5273572930.877672,6444340613.27308,22.463732011962353,3.970291913552122,18.512488302328297
85.0,4.0,13.0,8.0,3.0,2.0,187058823.52941176,11.0,0.3076923076923077,7.7272727272727275,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,7591750826.755947,6478016096.952897,23.48958494623549,4.454347296253507,19.046933695028194
25.3,3.5,7.0,2.0,2.0,2.0,134387351.77865613,4.0,0.5,6.325,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,6892653679.111856,6444340613.27308,21.947041268862645,3.269568939183719,18.716236880276227
44.0,4.0,11.0,2.0,2.0,2.0,79545454.54545455,4.0,0.36363636363636365,11.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,5598308686.544653,6464509836.25199,21.976028805727495,3.8066624897703196,18.191839184094945
80.0,4.0,20.0,3.0,2.0,2.0,70000000.0,5.0,0.2,16.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,5036740928.7324,6478016096.952897,22.446032434866087,4.394449154672439,18.064005814299346
