Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số tầng,Tình trạng nội thất,Tổng_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
49.0,Không xác định,4.0,12.0,2,Nội thất đầy đủ,4,6.471331767468956,7.421627715777775,False,False,True,False,4,5.6
160.0,Không xác định,8.0,20.0,2,Hoàn thiện cơ bản,5,2.665929203871343,6.400161949422207,False,True,False,False,4,2.0
95.0,Không xác định,5.0,19.0,2,Không xác định,5,6.471331767468956,5.153208129415633,False,False,True,False,4,4.38
72.2,Không xác định,4.4,17.0,4,Nội thất đầy đủ,13,6.471331767468956,7.902451707060316,False,False,True,False,4,11.95
44.9,Không xác định,4.0,11.2,2,Hoàn thiện cơ bản,4,6.471331767468956,5.18123926212466,False,False,True,False,4,3.49
85.0,Không xác định,5.0,17.0,2,Hoàn thiện cơ bản,5,6.471331767468956,6.185645527456781,False,False,True,False,4,1.28
32.0,Không xác định,3.5,9.0,2,Không xác định,3,6.471331767468956,6.695535923630882,False,False,True,False,4,2.85
85.0,Không xác định,5.114083119567588,16.62077013859466,5,Không xác định,13,6.471331767468956,7.663828084516338,False,False,True,False,4,15.9
96.0,Không xác định,6.0,16.0,3,Nội thất đầy đủ,8,6.471331767468956,5.76960447947392,False,False,False,True,4,5.7
24.0,Không xác định,6.0,4.0,2,Nội thất đầy đủ,5,6.471331767468956,6.516112194817324,False,False,True,False,4,5.2
50.0,Không xác định,4.04,12.3,4,Không xác định,9,6.471331767468956,6.870939978009655,False,True,False,False,4,5.95
39.0,Không xác định,3.5,11.1,3,Không xác định,6,6.471331767468956,6.4796190679191845,False,False,True,False,4,5.78
88.4,Không xác định,5.2,17.0,2,Không xác định,6,3.964492739359931,6.400161949422207,False,True,False,False,4,3.65
110.0,Không xác định,5.0,21.0,2,Nội thất đầy đủ,5,3.3225238135838366,5.056157369314003,False,False,True,False,4,3.65
30.0,Tây Nam,3.038218101251,9.87420882906575,5,Hoàn thiện cơ bản,6,9.331798426813611,6.400161949422207,False,True,False,False,4,13.2
41.0,Không xác định,4.1,10.0,3,Nội thất đầy đủ,7,6.471331767468956,6.642984145592585,False,False,True,False,4,8.0
110.0,Không xác định,4.5,24.0,4,Không xác định,10,6.471331767468956,5.864738109194439,False,False,True,False,4,8.29
62.0,Không xác định,3.9,17.3,3,Không xác định,8,6.471331767468956,7.324183216052729,False,True,False,False,4,14.5
24.0,Đông Bắc,3.0,8.0,2,Bàn giao thô,3,6.471331767468956,5.76960447947392,False,False,True,False,3,1.3
39.0,Không xác định,3.4641016151377544,11.258330249197703,2,Không xác định,4,6.471331767468956,7.620995183471165,False,True,False,False,4,4.1
72.0,Không xác định,4.0,18.0,2,Không xác định,6,6.471331767468956,7.324183216052729,False,True,False,False,4,10.5
76.0,Đông Nam,4.2,17.0,2,Nội thất đầy đủ,4,6.471331767468956,6.05751935919444,False,False,True,False,4,4.75
42.0,Không xác định,4.0,10.5,1,Không xác định,2,6.471331767468956,6.490044985950613,False,False,True,False,4,3.6
61.0,Không xác định,4.0,15.5,3,Nội thất cao cấp,7,6.471331767468956,7.389917532566827,False,False,True,False,4,7.2
30.5,Không xác định,3.5,10.0,4,Nội thất đầy đủ,8,6.471331767468956,6.135809527983383,False,False,True,False,4,7.2
104.8,Bắc,4.4,23.0,4,Không xác định,15,6.471331767468956,7.389917532566827,False,False,True,False,4,9.35
63.0,Không xác định,4.0,15.5,2,Không xác định,5,6.471331767468956,5.699824273671954,False,False,True,False,4,5.8
71.0,Không xác định,6.0,12.0,2,Nội thất đầy đủ,5,6.471331767468956,7.421627715777775,False,False,True,False,4,7.8
37.9,Không xác định,3.53,10.8,4,Không xác định,8,6.471331767468956,5.962185580797383,False,False,True,False,4,3.6
21.0,Không xác định,3.0,7.0,2,Không xác định,5,6.471331767468956,6.35765920576906,False,False,True,False,4,2.95
58.0,Không xác định,4.224470836229533,13.72953021774598,4,Không xác định,8,6.471331767468956,6.361523819026001,False,False,True,False,4,6.48
22.0,Không xác định,3.0,7.5,2,Không xác định,4,6.471331767468956,6.35765920576906,False,False,True,False,4,2.95
42.0,Không xác định,4.2,10.0,4,Không xác định,8,6.471331767468956,7.324183216052729,False,False,True,False,4,6.699
60.0,Không xác định,4.0,15.0,5,Nội thất cao cấp,6,6.471331767468956,7.296600226677,False,True,False,False,4,8.55
58.0,Không xác định,4.8,12.0,3,Nội thất đầy đủ,9,6.471331767468956,6.920381842485595,False,False,True,False,4,6.2
79.0,Đông Nam,5.0,16.0,1,Hoàn thiện cơ bản,3,6.471331767468956,5.0488369543703655,False,False,True,False,4,3.6
60.0,Không xác định,4.296689244236597,13.964240043768942,3,Không xác định,6,6.471331767468956,6.400161949422207,False,False,True,False,4,1.69
24.39,Không xác định,3.25,7.25,2,Không xác định,6,6.471331767468956,6.135809527983383,False,False,True,False,4,4.15
98.0,Không xác định,7.5,14.0,4,Không xác định,10,6.471331767468956,5.94262494756402,False,True,False,False,4,11.7
122.0,Không xác định,5.3,23.0,4,Không xác định,10,6.471331767468956,5.886976218388879,False,False,True,False,4,6.2
56.0,Không xác định,4.0,14.0,4,Nội thất đầy đủ,9,6.471331767468956,5.94262494756402,False,False,True,False,4,7.2
185.0,Tây Nam,5.0,37.0,2,Hoàn thiện cơ bản,6,3.964492739359931,6.400161949422207,False,False,True,False,2,3.9
30.0,Không xác định,5.0,6.0,4,Không xác định,6,9.331798426813611,6.400161949422207,False,False,True,False,4,3.85
55.0,Không xác định,4.113766756037212,13.369741957120938,4,Không xác định,12,6.471331767468956,6.858095602228955,False,False,True,False,4,6.66
55.0,Đông,4.113766756037212,13.369741957120938,3,Không xác định,6,6.975637851906532,7.956774632948138,False,False,True,False,4,7.6
87.0,Không xác định,4.5,19.0,4,Nội thất đầy đủ,10,6.471331767468956,7.324183216052729,False,False,True,False,4,9.25
26.0,Không xác định,3.0,9.0,2,Nội thất đầy đủ,4,6.471331767468956,6.667053983140735,False,False,True,False,4,1.99
60.0,Không xác định,4.0,15.0,4,Không xác định,9,6.471331767468956,5.18123926212466,False,False,True,False,4,6.3
88.0,Không xác định,4.0,22.0,4,Nội thất đầy đủ,8,6.471331767468956,6.400161949422207,False,True,False,False,4,11.7
64.0,Không xác định,4.437601569801833,14.422205101855956,2,Không xác định,4,6.471331767468956,5.74436905459722,False,False,True,False,4,8.0
64.0,Nam,4.0,16.0,3,Nội thất cao cấp,4,6.471331767468956,5.64769303119841,False,False,True,False,4,5.45
