Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá bán (VND),Thành phố chính,Tình trạng nội thất_encoded,Giấy tờ pháp lý_encoded,Loại hình_grouped,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Hướng_grouped,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Unknown,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Thành phố chính_grouped,Thành phố chính_Khác,Thành phố chính_TP.HCM,Thành phố chính_Đà Nẵng,Phường/Xã_target_encoded,Thành phố_target_encoded
Long An,Xã Mỹ Hạnh Nam,45.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.5,10.0,2.0,2.0,3.0,Unknown,1100000000.0,Khác,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,Khác,True,False,False,2028846153.8461537,2784731707.3170733
Tp Hồ Chí Minh,Phường Linh Trung (Quận Thủ Đức cũ),67.7,"Nhà ngõ, hẻm",Đã có sổ,Unknown,5.0,13.5,5.0,5.0,3.0,Unknown,6600000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6669954545.454545,7783372663.267783
Đà Nẵng,Phường An Khê,64.9,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4.79,12.0,2.0,1.0,2.0,Hoàn thiện cơ bản,3580000000.0,Đà Nẵng,2,4.0,"Nhà ngõ, hẻm",False,True,False,Đông Bắc,False,False,False,False,False,False,True,False,Đà Nẵng,False,False,True,4382500000.0,7551963709.67742
Tây Ninh,Xã Thạnh Đức,150.0,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,5.0,30.0,1.0,1.0,3.0,Nội thất đầy đủ,1800000000.0,Khác,3,4.0,"Nhà ngõ, hẻm",False,True,False,Đông Nam,False,False,False,False,False,False,False,True,Khác,True,False,False,4975000000.0,1983304347.826087
Tp Hồ Chí Minh,Phường 3,43.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.5,9.0,4.0,4.0,3.0,Unknown,7000000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6746000000.0,7783372663.267783
Tp Hồ Chí Minh,Phường Thạnh Xuân,56.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,14.0,4.0,6.0,3.0,Nội thất cao cấp,6390000000.0,TP.HCM,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,4273442307.6923075,7783372663.267783
Tp Hồ Chí Minh,Phường Phú Trung,116.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.8,24.0,2.0,1.0,1.0,Nội thất đầy đủ,10200000000.0,TP.HCM,3,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,7280000000.0,7783372663.267783
Tp Hồ Chí Minh,Phường Tân Quý,56.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,14.0,2.0,2.0,3.0,Unknown,4900000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,8750232558.139534,7783372663.267783
Tp Hồ Chí Minh,Phường Bình Hưng Hòa,32.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,8.0,2.0,3.0,2.0,Unknown,4200000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6354028571.428572,7783372663.267783
Tp Hồ Chí Minh,Phường Tân Thới Hiệp,56.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,14.0,2.0,3.0,3.0,Unknown,3990000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,4951181818.181818,7783372663.267783
