Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_Không có sổ,Giấy tờ pháp lý_Sổ chung / công chứng vi bằng,Giấy tờ pháp lý_Đang chờ sổ,Giấy tờ pháp lý_Đã có sổ,Hướng_Không xác định,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Tình trạng nội thất_Hoàn thiện cơ bản,Tình trạng nội thất_Không xác định,Tình trạng nội thất_Nội thất cao cấp,Tình trạng nội thất_Nội thất đầy đủ,Phường/Xã_encoded,Thành phố_encoded,Diện tích (m2)_log,Giá_per_m2_log,Giá bán_numeric_log
58.0,3.5,13.0,3.0,3.0,6.0,310344827.5862069,6.0,0.2692307692307692,9.666666666666666,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,12808888888.88889,9381090243.90244,4.07753744390572,19.55319458751838,23.61363759489813
80.0,4.0,19.0,3.0,2.0,1.0,49875000.0,5.0,0.21052631578947367,16.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,5080400000.0,6466669433.246384,4.394449154672439,17.725030453224427,22.10705706809881
50.0,4.5,17.0,6.0,5.0,5.0,193000000.0,11.0,0.2647058823529412,4.545454545454546,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,9650000000.0,9381090243.90244,3.9318256327243257,19.078200752050506,22.990223752400933
57.0,4.0,15.0,4.0,4.0,4.0,107017543.85964912,8.0,0.26666666666666666,7.125,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5839854545.454545,6466669433.246384,4.060443010546419,18.48850334963539,22.53155460828961
63.0,4.5,13.0,3.0,3.0,2.0,111111111.1111111,6.0,0.34615384615384615,10.5,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6173937500.0,6466669433.246384,4.1588830833596715,18.526041268610193,22.66917598614458
200.0,7.0,26.0,3.0,2.0,2.0,34000000.0,5.0,0.2692307692307692,40.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,4923611111.111111,6466669433.246384,5.303304908059076,17.341871111992198,22.64018844927553
80.0,4.0,20.0,3.0,3.0,1.0,70000000.0,6.0,0.2,13.333333333333334,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,4985988095.238095,6466669433.246384,4.394449154672439,18.064005814299346,22.446032434866087
40.0,3.2,12.0,6.0,4.0,3.0,215000000.0,10.0,0.26666666666666666,4.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6798836734.693877,6466669433.246384,3.713572066704308,19.186148590743098,22.875028040322153
48.0,4.0,12.0,2.0,3.0,2.0,23145833.333333332,5.0,0.3333333333333333,9.6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,1111000000.0,4363745098.039216,3.8918202981106265,16.957325379900333,20.828526348503996
26.0,4.0,7.0,2.0,2.0,2.0,46153846.15384615,4.0,0.5714285714285714,6.5,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,5028960000.0,6466669433.246384,3.295836866004329,17.64749087738555,20.9055873945737
