Giá bán,Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất
"1,1 tỷ",Long An,Xã Mỹ Hạnh Nam,45,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.5,10,2,2,,
"6,6 tỷ",Tp Hồ Chí Minh,Phường Linh Trung (Quận Thủ Đức cũ),67.7,"Nhà ngõ, hẻm",Đã có sổ,,5,13.5,5,5,,
"3,58 tỷ",Đà Nẵng,Phường An Khê,64.9,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4.79,12,2,1,2,Hoàn thiện cơ bản
"1,8 tỷ",Tây Ninh,Xã Thạnh Đức,150,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,5,30,1,1,,Nội thất đầy đủ
7 tỷ,Tp Hồ Chí Minh,Phường 3,43,"Nhà ngõ, hẻm",Đã có sổ,,4.5,9,4,4,,
"6,39 tỷ",Tp Hồ Chí Minh,Phường Thạnh Xuân,56,"Nhà ngõ, hẻm",Đã có sổ,,4,14,4,6,,Nội thất cao cấp
"10,2 tỷ",Tp Hồ Chí Minh,Phường Phú Trung,116,"Nhà ngõ, hẻm",Đã có sổ,,4.8,24,2,1,1,Nội thất đầy đủ
"4,9 tỷ",Tp Hồ Chí Minh,Phường Tân Quý,56,"Nhà ngõ, hẻm",Đã có sổ,,4,14,2,2,,
"4,2 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hòa,32,"Nhà ngõ, hẻm",Đã có sổ,,4,8,2,,2,
"3,99 tỷ",Tp Hồ Chí Minh,Phường Tân Thới Hiệp,56,"Nhà ngõ, hẻm",Đã có sổ,,4,14,2,,,
"7,89 tỷ",Tp Hồ Chí Minh,Phường 3,34,"Nhà ngõ, hẻm",Đã có sổ,Nam,3,12,5,,5,
75 tỷ,Tp Hồ Chí Minh,Phường An Khánh (Quận 2 cũ),196.1,Nhà biệt thự,Đã có sổ,Tây Bắc,10.5,19,5,5,4,Nội thất đầy đủ
"5,7 tỷ",Tp Hồ Chí Minh,Phường Hiệp Thành,52,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4,13,4,4,,Nội thất đầy đủ
"15,9 tỷ",Tp Hồ Chí Minh,Phường 12,85,"Nhà ngõ, hẻm",Đã có sổ,,,,8,,,
"3,4 tỷ",Tp Hồ Chí Minh,Phường 5,25.3,"Nhà ngõ, hẻm",Đã có sổ,,3.5,7,2,2,2,Nội thất đầy đủ
"3,5 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,44,"Nhà ngõ, hẻm",Đã có sổ,Đông,4,11,2,2,2,Nội thất đầy đủ
"5,6 tỷ",Tp Hồ Chí Minh,Phường Tân Thới Hiệp,80,"Nhà ngõ, hẻm",Đã có sổ,,4,20,3,2,2,Nội thất đầy đủ
"36,5 tỷ",Tp Hồ Chí Minh,Phường Linh Chiểu (Quận Thủ Đức cũ),350,"Nhà mặt phố, mặt tiền",Đã có sổ,,11.5,32,6,4,3,Nội thất đầy đủ
"12,6 tỷ",Tp Hồ Chí Minh,Phường Phú Thuận,171,"Nhà ngõ, hẻm",Đã có sổ,,5.7,30,8,Nhiều hơn 6,1,Nội thất đầy đủ
"10,5 tỷ",Tp Hồ Chí Minh,Phường Linh Tây (Quận Thủ Đức cũ),115,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,3,,,
"2,75 tỷ",Tp Hồ Chí Minh,Thị trấn Hóc Môn,104,"Nhà ngõ, hẻm",Đã có sổ,,5,21,2,,,
"4,68 tỷ",Tp Hồ Chí Minh,Phường Hiệp Thành,46,"Nhà ngõ, hẻm",Đã có sổ,,4,12,3,2,2,
"5,5 tỷ",Tp Hồ Chí Minh,Xã Phước Kiển,80.3,"Nhà ngõ, hẻm",Đã có sổ,,5.5,15.2,3,2,2,Nội thất đầy đủ
"2,3 tỷ",Hà Nội,Phường Định Công,31,"Nhà ngõ, hẻm",Không có sổ,,3,,2,,3,Nội thất đầy đủ
710 triệu,Tp Hồ Chí Minh,Xã Xuân Thới Sơn,40,"Nhà ngõ, hẻm",Đã có sổ,Tây Nam,4,10,2,2,1,Nội thất đầy đủ
585 triệu,Long An,Thị trấn Đức Hòa,35,Nhà phố liền kề,Đã có sổ,Đông,4,7,1,1,1,Nội thất cao cấp
