iter	R2	RMSE
0	0.0588980413	3.64580592
1	0.1126500809	3.540158154
2	0.1580652214	3.448374557
3	0.2002720245	3.3608285
4	0.2346266244	3.287849143
5	0.2669832516	3.217600762
6	0.3014753242	3.140986598
7	0.3295552686	3.077206905
8	0.3559253809	3.016083077
9	0.381045689	2.956681223
10	0.4008461667	2.909004401
11	0.4230267321	2.854651215
12	0.4420862433	2.807105546
13	0.459277384	2.763519125
14	0.4757261158	2.721161511
15	0.4894458013	2.685320537
16	0.5029435576	2.649586246
17	0.5149769176	2.617317511
18	0.526591023	2.585791191
19	0.536025696	2.559895115
20	0.5451858331	2.534499437
21	0.5538556404	2.510226503
22	0.5625286966	2.485707326
23	0.5706876066	2.462418811
24	0.5775844089	2.442559641
25	0.5849378658	2.421206129
26	0.5914659984	2.402090199
27	0.5965226483	2.387177915
28	0.601036589	2.373786968
29	0.6054090727	2.360743241
30	0.6096109434	2.348140205
31	0.6137821727	2.335561811
32	0.6178516994	2.323224471
33	0.6219819349	2.31063573
34	0.6257371449	2.299130222
35	0.6288677739	2.289494162
36	0.6328733027	2.277105702
37	0.6360870255	2.267117227
38	0.6397652201	2.255630859
39	0.6426766347	2.246497373
40	0.6460018961	2.236019955
41	0.6483204188	2.228685482
42	0.6513416974	2.219091516
43	0.6539741676	2.210698254
44	0.6557296533	2.205083378
45	0.6579207636	2.198055046
46	0.6605452503	2.189606896
47	0.6626467373	2.182818695
48	0.6643021202	2.177456594
49	0.6658861788	2.172313133
50	0.667353816	2.167536803
51	0.6691050824	2.161823609
52	0.6710218157	2.155553254
53	0.6725743715	2.150460858
54	0.6742592699	2.144920697
55	0.6752572925	2.141632313
56	0.6767210452	2.13680024
57	0.6783044821	2.131560738
58	0.6800592646	2.125739177
59	0.6809216884	2.1228722
60	0.6819347672	2.119499444
61	0.6836438712	2.113797274
62	0.6851502936	2.108758536
63	0.6863069122	2.104881649
64	0.6867737075	2.103314967
65	0.6880003966	2.099192317
66	0.6890391001	2.095695107
67	0.6899345289	2.092675598
68	0.6917803907	2.086437309
69	0.6930468375	2.082146405
70	0.6938259363	2.079502307
71	0.6946958581	2.076545996
72	0.6955601892	2.07360451
73	0.696731131	2.069612901
74	0.6977355928	2.066182659
75	0.6987459185	2.062726638
76	0.6997020135	2.059450782
77	0.700853865	2.055497274
78	0.701780981	2.052309596
79	0.7028229154	2.048721222
80	0.7035161429	2.046330292
81	0.7040250776	2.044573205
82	0.70486215	2.04167994
83	0.7053865387	2.039865348
84	0.7062985873	2.036705447
85	0.7068704816	2.034721549
86	0.7072308093	2.033470579
87	0.7074617762	2.032668314
88	0.7079425892	2.03099719
89	0.7088068783	2.027989786
90	0.7092295513	2.026517416
91	0.7095693741	2.025332877
92	0.7098658205	2.024298971
93	0.710850341	2.020861497
94	0.7111467121	2.019825566
95	0.7119532029	2.017003875
96	0.7124403959	2.015297405
97	0.7130795732	2.013056393
98	0.7133583451	2.012078213
99	0.7137633422	2.010656274
100	0.7149261397	2.006568109
101	0.7155956083	2.004210608
102	0.7164431661	2.00122199
103	0.7171230734	1.998821304
104	0.7175621351	1.997269486
105	0.7180104596	1.995683686
106	0.7187187976	1.993175601
107	0.7192224807	1.991390237
108	0.7199240217	1.988900871
109	0.7204431143	1.987056903
110	0.7211097582	1.984686276
111	0.7217195937	1.982515181
112	0.722291849	1.980475712
113	0.7225822258	1.97944003
114	0.7230963219	1.977605082
115	0.7241328064	1.973900403
116	0.7249399438	1.97101065
117	0.7255703638	1.968750639
118	0.7260566772	1.967005466
119	0.7268329814	1.964216426
120	0.7275450588	1.961654647
121	0.7280279235	1.959915582
122	0.7285737322	1.957947961
123	0.7290425931	1.956256153
124	0.7293857843	1.955016876
125	0.7297274993	1.953782148
126	0.7299474342	1.952987039
127	0.7301874418	1.952118994
128	0.7304523623	1.951160396
129	0.7310072548	1.949151026
130	0.7314819957	1.947430254
131	0.7320228805	1.945467878
132	0.7327620897	1.942782759
133	0.7330716539	1.941657188
134	0.7337113257	1.939329282
135	0.7342495529	1.937368388
136	0.7346475887	1.935916968
137	0.7351632541	1.934034998
138	0.735541876	1.932652014
139	0.735936135	1.93121086
140	0.7364922757	1.929176142
141	0.7369173777	1.927619399
142	0.7376816159	1.924817557
143	0.7382711557	1.922653403
144	0.7387269417	1.920978577
145	0.739307621	1.918842703
146	0.739804067	1.917014771
147	0.7400857396	1.915976867
148	0.7404876694	1.914494866
149	0.7410443795	1.912440261
150	0.7414562479	1.91091879
151	0.7420055665	1.90888768
152	0.7423107894	1.907758182
153	0.7428326789	1.905825342
154	0.7436021047	1.902972162
155	0.7439187116	1.901796879
156	0.7442871925	1.900428118
157	0.7446235036	1.899177994
158	0.7451716436	1.897138702
159	0.7457772923	1.894882903
160	0.7461932437	1.893332093
161	0.7464265738	1.892461603
162	0.7467157721	1.891382127
163	0.7472753592	1.889291633
164	0.7475967321	1.888090008
165	0.7480682363	1.886325652
166	0.7486584511	1.884114755
167	0.7490106763	1.882794112
168	0.7497372347	1.880067001
169	0.7501105935	1.878664072
170	0.7505059246	1.877177438
171	0.7509666632	1.875443353
172	0.7512815097	1.874257441
173	0.7517868457	1.872352453
174	0.7522317665	1.870673609
175	0.7526617148	1.869049829
176	0.7530043871	1.867754653
177	0.7536054025	1.865480861
178	0.7538155529	1.864685156
179	0.754443667	1.862304861
180	0.75472905	1.86122237
181	0.7551072174	1.859786968
182	0.7553440027	1.858887642
183	0.7558027034	1.857144229
184	0.7561204288	1.855935669
185	0.7567788563	1.853428643
186	0.7571266467	1.852103028
187	0.7573388636	1.851293689
188	0.7578333947	1.849406306
189	0.7581017745	1.848381225
190	0.7584450174	1.847069373
191	0.7588021295	1.845703526
192	0.7595072172	1.843003801
193	0.759862326	1.84164262
194	0.7601279783	1.84062368
195	0.7607076781	1.838398213
196	0.7611439879	1.836721441
197	0.7617259972	1.834482349
198	0.7620519579	1.833227127
199	0.7622886792	1.832315012
200	0.7625742239	1.831214171
201	0.7629932249	1.829597624
202	0.7634013893	1.828021512
203	0.7638030491	1.82646919
204	0.7643712104	1.824271122
205	0.7648935832	1.822247858
206	0.7652636954	1.820812973
207	0.7656858854	1.819174804
208	0.7660433189	1.817786748
209	0.7665027642	1.816000982
210	0.766684536	1.815293989
211	0.7672053549	1.81326676
212	0.7677256701	1.811239226
213	0.7680829521	1.809845675
214	0.7686694166	1.807555886
215	0.7690474708	1.806078275
216	0.769258743	1.805251998
217	0.7696352283	1.803778641
218	0.7701756332	1.801661688
219	0.7704261162	1.800679614
220	0.770699373	1.799607641
221	0.770962219	1.798575905
222	0.7715142249	1.796407216
223	0.7718941914	1.794912902
224	0.7722293659	1.793593712
225	0.772665092	1.791877314
226	0.7729517067	1.790747395
227	0.7732417873	1.789603085
228	0.773409381	1.788941628
229	0.7735907549	1.788225508
230	0.7738037935	1.787383999
231	0.7744006603	1.785024245
232	0.7747446183	1.783662965
233	0.7749955017	1.782669391
234	0.7754427301	1.780896855
235	0.7759172433	1.779014249
236	0.7763618892	1.777248329
237	0.7765816422	1.776374928
238	0.7768113835	1.775461369
239	0.7771086045	1.774278781
240	0.7774378963	1.772967669
241	0.7777988435	1.771529402
242	0.7780438824	1.770552329
243	0.7783290544	1.76941455
244	0.7786657721	1.768070171
245	0.7789424052	1.76696492
246	0.7790870377	1.766386785
247	0.7792883462	1.765581785
248	0.7795622394	1.764485941
249	0.7800657001	1.762469823
250	0.7804115831	1.76108339
251	0.7807704161	1.759643894
252	0.7813456715	1.757333737
253	0.7816213947	1.756225389
254	0.7817555989	1.755685663
255	0.7822180682	1.75382449
256	0.7826201403	1.752204774
257	0.7828029832	1.75146771
258	0.7829706068	1.750791725
259	0.7832769878	1.74955549
260	0.783542562	1.748483201
261	0.7838293717	1.747324433
262	0.7841994441	1.74582813
263	0.7845387715	1.744455009
264	0.7847469821	1.743611929
265	0.7850742869	1.742285793
266	0.7854381258	1.740810447
267	0.785715923	1.739683152
268	0.7860088883	1.738493514
269	0.7863792641	1.73698837
270	0.7866923241	1.73571513
271	0.7870462855	1.734274415
272	0.7873619996	1.732988365
273	0.7876910209	1.731647093
274	0.7880171463	1.7303166
275	0.7882411171	1.729402274
276	0.7887118186	1.727479132
277	0.7889881361	1.726349185
278	0.7891619847	1.725637886
279	0.7895261341	1.724147022
280	0.7897789798	1.723111087
281	0.7898747499	1.722718545
282	0.7901942781	1.721408216
283	0.7906541314	1.719520685
284	0.7909002061	1.718509786
285	0.7911642282	1.717424496
286	0.7915242682	1.715943408
287	0.7918418313	1.714635995
288	0.7922422509	1.712986037
289	0.7924827785	1.711994161
290	0.7927202557	1.711014301
291	0.7929263914	1.710163304
292	0.793202446	1.709022994
293	0.7935583923	1.707551549
294	0.7938014098	1.706546211
295	0.7941505775	1.705100704
296	0.7946069954	1.703209345
297	0.7948826156	1.702066179
298	0.7951475108	1.700966773
299	0.7955193497	1.699422313
300	0.7956595065	1.698839797
301	0.7958063957	1.698229086
302	0.796169661	1.696717818
303	0.7965137176	1.695285221
304	0.7968620461	1.693833602
305	0.7970590992	1.693011855
306	0.7972082948	1.692389416
307	0.7974821337	1.691246375
308	0.7979000475	1.689500454
309	0.7981197071	1.688582058
310	0.7984052387	1.687387503
311	0.7987240896	1.686052553
312	0.7990273739	1.684781795
313	0.7992000403	1.684057896
